lot_tag,auct_type,object_type,cadastr_num,adm_area,mun_district,addr_norm,flat_num,qty_rooms,addr_floor,total_floors,is_total_floors_variable,obj_square,start_price,start_price_m2,deposit,auct_step,auct_form,start_applications_date,finish_application_date,participant_selection_date,bidding_date,results_date,inf_sales,inf_food_service,inf_education,inf_cult_and_sport,inf_consumer_services,inf_health_care,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,code_KLADR,global_repair_date,is_renov,renov_period,documentation_expl,documentation_photo,roseltorg_url,torgi_url,investmoscow_url,building_page_url
#ГП16938155,Продажа,Квартира,77:10:0002006:4881,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",22.0,2,5,19.0,0.0,60.0,9824000,163733.33,491200,98240,Открытый аукцион в электронной форме,2023-09-28,2023-10-31,2023-11-02,2023-11-07,2023-11-07,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015650,https://torgi.gov.ru/new/public/notices/view/21000005000000015650,https://investmoscow.ru/tenders/tender/19320513,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938193,Продажа,Квартира,77:10:0002006:4977,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",149.0,2,5,19.0,0.0,53.8,8611000,160055.76,430550,86110,Открытый аукцион в электронной форме,2023-09-28,2023-10-31,2023-11-02,2023-11-07,2023-11-07,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015653,https://torgi.gov.ru/new/public/notices/view/21000005000000015653,https://investmoscow.ru/tenders/tender/19321648,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938192,Продажа,Квартира,77:10:0002006:4986,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",34.0,2,6,19.0,0.0,56.2,8449000,150338.08,422450,84490,Открытый аукцион в электронной форме,2023-09-28,2023-10-31,2023-11-02,2023-11-07,2023-11-07,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015652,https://torgi.gov.ru/new/public/notices/view/21000005000000015652,https://investmoscow.ru/tenders/tender/19321525,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938194,Продажа,Квартира,77:10:0002006:4976,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",145.0,2,4,19.0,0.0,72.6,10593000,145909.09,529650,105930,Открытый аукцион в электронной форме,2023-09-28,2023-10-31,2023-11-02,2023-11-07,2023-11-07,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015636,https://torgi.gov.ru/new/public/notices/view/21000005000000015636,https://investmoscow.ru/tenders/tender/19321905,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938191,Продажа,Квартира,77:10:0002006:4906,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",27.0,2,5,19.0,0.0,56.1,8434000,150338.68,421700,84340,Открытый аукцион в электронной форме,2023-09-28,2023-10-31,2023-11-02,2023-11-07,2023-11-07,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015639,https://torgi.gov.ru/new/public/notices/view/21000005000000015639,https://investmoscow.ru/tenders/tender/19321398,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938305,Продажа,Квартира,77:10:0002006:4930,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",102.0,1,16,19.0,0.0,44.9,7862000,175100.22,393100,78620,Открытый аукцион в электронной форме,2023-10-04,2023-11-07,2023-11-14,2023-11-17,2023-11-17,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015748,https://torgi.gov.ru/new/public/notices/view/21000005000000015748,https://investmoscow.ru/tenders/tender/19325015,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938276,Продажа,Квартира,77:10:0002006:5035,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",190.0,2,11,19.0,0.0,62.4,9819000,157355.77,490950,98190,Открытый аукцион в электронной форме,2023-10-04,2023-11-07,2023-11-14,2023-11-17,2023-11-17,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015703,https://torgi.gov.ru/new/public/notices/view/21000005000000015703,https://investmoscow.ru/tenders/tender/19324350,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938308,Продажа,Квартира,77:10:0002006:4925,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",108.0,2,17,19.0,0.0,60.6,8852000,146072.61,442600,88520,Открытый аукцион в электронной форме,2023-10-04,2023-11-07,2023-11-14,2023-11-17,2023-11-17,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015702,https://torgi.gov.ru/new/public/notices/view/21000005000000015702,https://investmoscow.ru/tenders/tender/19325639,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938343,Продажа,Квартира,77:10:0002006:4955,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",15.0,2,4,19.0,0.0,60.3,10377000,172089.55,518850,103770,Открытый аукцион в электронной форме,2023-10-05,2023-11-10,2023-11-17,2023-11-21,2023-11-21,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015802,https://torgi.gov.ru/new/public/notices/view/21000005000000015802,https://investmoscow.ru/tenders/tender/19327141,https://flatinfo.ru/h_info1.asp?hid=339447
#ГП16938414,Продажа,Квартира,77:10:0002006:5017,Зеленоградский,Старое Крюково,"г. Москва, г. Зеленоград, к. 848",70.0,2,11,19.0,0.0,59.4,8703000,146515.15,435150,87030,Открытый аукцион в электронной форме,2023-10-05,2023-11-10,2023-11-17,2023-11-21,2023-11-21,67,5,2,30,16,2,55.97722,37.18535,Железобетонные,Монолитный,Нет данных,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Зеленоград,0.9,13.0,7700000200000.0,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000015773,https://torgi.gov.ru/new/public/notices/view/21000005000000015773,https://investmoscow.ru/tenders/tender/19332056,https://flatinfo.ru/h_info1.asp?hid=339447
