addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url
"окружной пр-д, 10г","г. москва, проезд. окружной, д. 10г",3,17,24.0,59.9,19468512,325017.0,2023-11-08,0,"Консультант Циан, CIAN ID 47919092",7,Восточный,Соколиная Гора,"г. москва, проезд. окружной, д. 10г",24.0,0.0,55.7929,37.7413,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2024.0,-1.0,-1.0,Нет данных,Измайлово,0.55,8.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=368947
"тагильская ул., 4к2","г. москва, ул. тагильская, д. 4, к. 2",3,2,25.0,58.4,19046576,326140.0,2023-11-08,0,"Застройщик AFI Development, CIAN ID 27344089",7,Восточный,Метрогородок,"г. москва, ул. тагильская, д. 4, к. 2",25.0,0.0,55.81879,37.75003,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Бульвар Рокоссовского,1.1,17.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=379307
"наметкина ул., 10д","г. москва, ул. наметкина, д. 10д",3,25,30.0,73.2,20807100,284250.0,2023-11-08,0,"Застройщик МонАрх, CIAN ID 98437709",7,Юго-Западный,Черемушки,"г. москва, ул. наметкина, д. 10д",24.0,0.0,55.66014000000001,37.55138,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Воронцовская,0.8,12.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385790
"наметкина ул., 10д","г. москва, ул. наметкина, д. 10д",3,26,30.0,73.2,20935200,286000.0,2023-11-08,0,"Застройщик МонАрх, CIAN ID 98437709",7,Юго-Западный,Черемушки,"г. москва, ул. наметкина, д. 10д",24.0,0.0,55.66014000000001,37.55138,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Воронцовская,0.8,12.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385790
"староалексеевская ул., 5а",жилой комплекс лайм корпус 1,3,2,27.0,92.5,33300000,360000.0,2023-11-08,0,"Застройщик ЭЗКС, CIAN ID 96917850",20,Северо-Восточный,Алексеевский,жилой комплекс лайм корпус 1,27.0,0.0,55.81171,37.64549,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Алексеевская,0.6,9.0,77:02:0023012:8419,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335207
"кутузовский пр-д, 16а/1","г. москва, проезд. кутузовский, д. 16а/1",3,39,45.0,104.3,71525153,685764.0,2023-11-08,0,"Застройщик Аеон Девелопмент, CIAN ID 91647141",61,Западный,Дорогомилово,"г. москва, проезд. кутузовский, д. 16а/1",45.0,0.0,55.74508,37.52259,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Фили,0.5,8.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=385781
"раменки ул., 7к1","г. москва, ул. раменки, д. 7, к. 1",3,11,17.0,98.1,58280000,594088.0,2023-11-08,0,"Застройщик Sminex-Интеко, CIAN ID 104815611",61,Западный,Раменки,"г. москва, ул. раменки, д. 7, к. 1",17.0,0.0,55.69275,37.49691,железобетонные,Панельный,Крупнопанельные,муниципальный,706.0,1985.0,264.0,1.0,Исправный,Раменки,0.6,9.0,77:07:0013005:1028,7.70000000002448e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=70119
"волоколамское ш., 71к9","г. москва, ш. волоколамское, д. 71, к. 9",3,3,24.0,92.2,39993548,433770.0,2023-11-08,0,"Застройщик ПИК, CIAN ID 9992698",44,Северо-Западный,Покровское-Стрешнево,"г. москва, ш. волоколамское, д. 71, к. 9",24.0,0.0,55.8153,37.42929,Нет данных,Нет данных,Нет данных,Нет данных,-1.0,2023.0,-1.0,-1.0,Нет данных,Спартак,0.55,8.0,Нет данных,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=383929
"академика павлова ул., 56","г. москва, ул. академика павлова, д. 56",3,4,33.0,86.7,37240413,429532.0,2023-11-08,0,"Застройщик ПИК, CIAN ID 9992698",59,Западный,Кунцево,"г. москва, ул. академика павлова, д. 56",33.0,0.0,55.7488,37.4091,Железобетонные,Панельный,Крупнопанельные,Нет данных,-1.0,2023.0,255.0,-1.0,Исправный,Крылатское,0.95,14.0,77:07:0004002:1079,7.70000000002187e+16,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=26553
"староалексеевская ул., 5а",жилой комплекс лайм корпус 1,3,2,27.0,114.4,38801000,339170.0,2023-11-08,0,"Застройщик ЭЗКС, CIAN ID 96917850",20,Северо-Восточный,Алексеевский,жилой комплекс лайм корпус 1,27.0,0.0,55.81171,37.64549,Нет данных,Монолитный,Нет данных,Нет данных,-1.0,2021.0,-1.0,-1.0,Нет данных,Алексеевская,0.6,9.0,77:02:0023012:8419,Нет данных,Нет данных,0.0,Нет данных,https://flatinfo.ru/h_info1.asp?hid=335207
