addr_winner,addr_norm,qty_rooms,addr_floor,total_floors,obj_square,price,price_m2,date,is_active,seller_name,exposition_days,metro_station_winner,metro_minutes_winner
"ЖК ""Большая Академическая 85""",,2,16,24,55.7,18962769,340445.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Верхние Лихоборы м.,13
"ЖК ""Level Южнопортовая""",,1,10,13,38.0,8765684,230676.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 89540106",6,Кожуховская м.,14
"ЖК ""Level Южнопортовая""",,3,21,47,73.3,21114232,288052.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 89540106",6,Кожуховская м.,9
"ЖК ""Большая Академическая 85""",,1,2,14,22.0,8826168,401189.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",35,Окружная м.,15
"Ватутинки пос., Новые Ватутинки Центральный мкр, Ватутинская 1-я ул., 5",,1,8,9,40.5,9011250,222500.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",6,,-1
"Сосенское поселение, Александры Монаховой ул., 85",,2,2,17,44.1,11915975,270204.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,,-1
ЖК «Нагатино Ай-Ленд»,,3,17,35,97.3,53663920,551531.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100103053",8,Технопарк м.,14
"ЖК ""Большая Академическая 85""",,2,17,24,49.4,16931595,342745.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Верхние Лихоборы м.,13
"ЖК ""Большая Академическая 85""",,1,7,14,22.0,8968781,407672.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Окружная м.,15
"ЖК ""Большая Академическая 85""",,2,6,14,53.1,19465698,366586.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Окружная м.,15
"ЖК ""Большая Академическая 85""",,1,11,14,38.3,9194910,240076.0,2023-11-20,0,"Застройщик ПИК, CIAN ID 9992698",6,Верхние Лихоборы м.,12
"ЖК ""Level Южнопортовая""",,1,15,23,19.1,6006841,314494.0,2023-11-20,0,"Застройщик Level Group, CIAN ID 89540106",6,Кожуховская м.,14
"Маршала Кожедуба ул., 6К2",,1,8,22,38.0,9500000,250000.0,2023-11-20,0,"Агентство РЕЗУЛЬТАТ, CIAN ID 13654080",6,,-1
"Ватутинки пос., Новые Ватутинки Центральный мкр, Ватутинская 1-я ул., 5",,1,4,14,28.8,6828480,237100.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",6,,-1
"Ватутинки пос., Новые Ватутинки Центральный мкр, Ватутинская 1-я ул., 5",,4,8,9,86.6,18038780,208300.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",6,,-1
"Академика Волгина ул., 2С1",,1,29,46,29.9,16000000,535117.0,2023-11-20,0,"Агентство Этажи Москва, Агент Строева Валентина Сергеевна, CIAN ID 47137507",25,Воронцовская м.,14
"Варшавское ш., 37Ак3",,4,28,31,90.0,44000000,488889.0,2023-11-20,0,"Агентство Этажи Москва, Агент Решетов Дмитрий Юрьевич, CIAN ID 58177898",25,Нагатинская м.,6
"Петровско-Разумовский Старый пр-д, 1/23С5",,4,20,25,109.6,43292000,395000.0,2023-11-20,0,"Застройщик РГ-Девелопмент, CIAN ID 34428593",53,Гражданская метро (МЦД-2),10
"Коммунарка пос., ЖК ""Бунинские кварталы""",,4,12,17,78.4,15855963,202244.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",73,,-1
"Лихачёва просп., 14",,4,14,35,103.6,41592684,401474.0,2023-11-20,0,"Застройщик Группа Эталон, CIAN ID 100103053",8,Технопарк м.,10
"ЖК ""Шагал""",,1,8,17,31.4,12500890,398118.0,2023-11-20,0,"Агентство OneBrokerage, Агент Марина Богачевская, CIAN ID 102791222",10,,-1
"Десеновское поселение, Новые Ватутинки Центральный мкр, ЖК ""Новые Ватутинки. Микрорайон Центральный""",,3,4,8,80.4,18098040,225100.0,2023-11-20,0,"Застройщик Новые Ватутинки, CIAN ID 86808162",53,,-1
"Волгоградский просп., 32/3к4",,1,12,29,26.9,11641611,432774.0,2023-11-20,0,"Застройщик MR Group, CIAN ID 67819154",6,Угрешская м. (МЦК),11
"Прокшино д., ЖК ""Прокшино""",,4,4,16,72.4,19361413,267423.0,2023-11-20,0,"Застройщик А101, CIAN ID 51527448",29,,-1
"ЖК ""Дмитровское небо""",,1,6,23,23.1,11731571,507860.0,2023-11-20,0,"Застройщик Группа ЛСР, CIAN ID 108286368",7,Селигерская м.,8
