lot_tag,addr_norm,adm_area,mun_district,metro_name,metro_dist,metro_minutes,addr_floor,total_floors,year_exp_w,реновация,ремонт,qty_rooms,is_qty_rooms_predicted,obj_square,start_price,start_price_m2,final_price,final_price_m2,delta_price,auct_date,investMSK_URL,lot_URL,platform_name,timestamp,building_page,Примечания
#ГП16865991,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,10,14,2019,новый дом,,1.0,0,39.2,4972442,126848.01,6042442,126848.01,,2020-01-21,https://investmoscow.ru/tenders/tendercard/?TenderId=17400393,https://www.roseltorg.ru/procedure/COM05111900096,ЕЭТП,1579564800,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866050,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,4,14,2019,новый дом,,1.0,0,39.3,4831896,122949.01,6111896,122949.01,,2020-01-21,https://investmoscow.ru/tenders/tendercard/?TenderId=17400387,https://www.roseltorg.ru/procedure/COM05111900059,ЕЭТП,1579564800,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866308,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,6,14,2019,новый дом,,1.0,0,39.3,4879763,124167.0,5929763,124167.0,,2020-02-04,https://investmoscow.ru/tenders/tendercard/?TenderId=17403204,https://www.roseltorg.ru/procedure/COM13111900232,ЕЭТП,1580774400,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866344,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,7,14,2019,новый дом,,1.0,0,39.4,4911328,124652.99,6091328,124652.99,,2020-02-04,https://investmoscow.ru/tenders/tendercard/?TenderId=17403144,https://www.roseltorg.ru/procedure/COM13111900274,ЕЭТП,1580774400,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866335,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,7,14,2019,новый дом,,1.0,0,39.4,4911328,124652.99,6011328,124652.99,,2020-02-04,https://investmoscow.ru/tenders/tendercard/?TenderId=17403162,https://www.roseltorg.ru/procedure/COM13111900264,ЕЭТП,1580774400,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866299,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,9,14,2019,новый дом,,1.0,0,39.4,4964006,125990.0,6254006,125990.0,,2020-02-18,https://investmoscow.ru/tenders/tendercard/?TenderId=17402708,https://www.roseltorg.ru/procedure/COM13111900191,ЕЭТП,1581984000,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866220,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,2,14,2019,новый дом,,1.0,0,39.4,4791513,121612.01,5671513,121612.01,,2020-02-04,https://investmoscow.ru/tenders/tendercard/?TenderId=17402501,https://www.roseltorg.ru/procedure/COM13111900080,ЕЭТП,1580774400,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866234,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,3,14,2019,новый дом,,1.0,0,39.4,4815468,122220.0,6245468,122220.0,,2020-02-04,https://investmoscow.ru/tenders/tendercard/?TenderId=17402526,https://www.roseltorg.ru/procedure/COM13111900063,ЕЭТП,1580774400,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16866014,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,11,14,2019,новый дом,,1.0,0,39.4,5011916,127205.99,5843893,127205.99,,2020-01-21,https://investmoscow.ru/tenders/tendercard/?TenderId=17400472,https://www.roseltorg.ru/procedure/COM05111900139,ЕЭТП,1579564800,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
#ГП16865937,"г. Москва, аллея. Долгопрудная, д. 15, к. 1",Северо-Восточный, Северный,Долгопрудная,0.6,9.0,7,14,2019,новый дом,,1.0,0,39.4,4911328,124652.99,6021328,124652.99,,2020-01-21,https://investmoscow.ru/tenders/tendercard/?TenderId=17400103,https://www.roseltorg.ru/procedure/COM05111900086,ЕЭТП,1579564800,https://www.reformagkh.ru/myhouse/profile/view/9377357/,
