lot_tag,auct_type,object_type,cadastr_num,addr_string,addr_street,addr_build_num,addr_floor_from_title,addr_apart_num_from_title,flat_num,qty_rooms,addr_floor,total_floors,obj_square,start_price,start_price_m2,deposit,auct_step,auct_form,start_applications_date,finish_application_date,participant_selection_date,bidding_date,results_date,roseltorg_url,torgi_url,metro_station,inf_sales,inf_food_service,inf_education,inf_cult_and_sport,inf_consumer_services,inf_health_care,documentation_expl,documentation_photo,investmoscow_url
#ГП16920975,Продажа,Квартира,77:05:0008005:13244,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 14, кв. 221",,,,,221,2,14,24,57.7,15527532,269108.01,310550,31055,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009619,https://torgi.gov.ru/new/public/notices/view/21000005000000009619,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861662
#ГП16920973,Продажа,Квартира,77:05:0008005:13242,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 14, кв. 219",,,,,219,1,14,24,42.0,11783058,280549.0,235661,23566,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009618,https://torgi.gov.ru/new/public/notices/view/21000005000000009618,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861632
#ГП16920956,Продажа,Квартира,77:05:0008005:13463,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 15, кв. 41",,,,,41,2,15,24,61.2,16469410,269108.01,329388,32938,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009583,https://torgi.gov.ru/new/public/notices/view/21000005000000009583,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861244
#ГП16920968,Продажа,Квартира,77:05:0008005:13547,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 7, кв. 63",,,,,63,3,7,24,79.4,20020154,252143.0,400403,40040,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009587,https://torgi.gov.ru/new/public/notices/view/21000005000000009587,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861205
#ГП16920970,Продажа,Квартира,77:05:0008005:13552,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 9, кв. 68",,,,,68,3,9,24,83.3,21003512,252143.0,420070,42007,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009589,https://torgi.gov.ru/new/public/notices/view/21000005000000009589,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18861124
#ГП16920948,Продажа,Квартира,77:05:0008005:13279,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 22, кв. 253",,,,,253,2,22,24,57.1,16235814,284340.0,324716,32471,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009625,https://torgi.gov.ru/new/public/notices/view/21000005000000009625,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860768
#ГП16920946,Продажа,Квартира,77:05:0008005:13277,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 22, кв. 251",,,,,251,1,22,24,41.9,12420375,296429.0,248407,24840,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009624,https://torgi.gov.ru/new/public/notices/view/21000005000000009624,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860736
#ГП16920925,Продажа,Квартира,77:05:0008005:13573,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 15, кв. 87",,,,,87,3,15,24,79.1,20331785,257039.0,406635,40663,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009595,https://torgi.gov.ru/new/public/notices/view/21000005000000009595,Улица Академика Королёва,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860400
#ГП16920918,Продажа,Квартира,77:05:0008005:13140,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 9, кв. 128",,,,,128,2,9,24,57.7,15088031,261491.01,301760,30176,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009601,https://torgi.gov.ru/new/public/notices/view/21000005000000009601,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860219
#ГП16920916,Продажа,Квартира,77:05:0008005:13570,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 14, кв. 84",,,,,84,3,14,24,79.3,20383193,257039.0,407663,40766,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009594,https://torgi.gov.ru/new/public/notices/view/21000005000000009594,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860164
#ГП16920913,Продажа,Квартира,77:05:0008005:13567,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 13, кв. 81",,,,,81,3,13,24,79.1,20331785,257039.0,406635,40663,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009593,https://torgi.gov.ru/new/public/notices/view/21000005000000009593,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860161
#ГП16920906,Продажа,Квартира,77:05:0008005:13554,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 9, кв. 69",,,,,69,3,9,24,79.5,20045369,252143.01,400907,40090,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009590,https://torgi.gov.ru/new/public/notices/view/21000005000000009590,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860146
#ГП16920917,Продажа,Квартира,77:05:0008005:13202,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 139, этаж 5, кв. 184",,,,,184,1,5,24,42.2,11169032,264669.0,223380,22338,Открытый аукцион в электронной форме,2023-03-15,2023-10-24,2023-10-30,2023-10-31,2023-11-01,https://www.roseltorg.ru/procedure/21000005000000009612,https://torgi.gov.ru/new/public/notices/view/21000005000000009612,Улица академика Янгеля,125,22,6,33,55,3,,,https://investmoscow.ru/tenders/tender/18860122
